iters, NUM_THREAD, value, Execution time = [ 10 ,  1 , 3.04184, 9.5e-05]
iters, NUM_THREAD, value, Execution time = [ 10 ,  2 , 3.04184, 0.000242]
iters, NUM_THREAD, value, Execution time = [ 10 ,  4 , 3.01707, 0.000224]
iters, NUM_THREAD, value, Execution time = [ 10 ,  10 , 3.04184, 0.000683]
iters, NUM_THREAD, value, Execution time = [ 10 ,  20 , 2.76662e-309, 0.000925]
iters, NUM_THREAD, value, Execution time = [ 10 ,  50 , 2.76282e-309, 0.003167]
iters, NUM_THREAD, value, Execution time = [ 10 ,  100 , 2.76288e-309, 0.005605]
iters, NUM_THREAD, value, Execution time = [ 100 ,  1 , 3.13159, 9e-05]
iters, NUM_THREAD, value, Execution time = [ 100 ,  2 , 3.13159, 0.000174]
iters, NUM_THREAD, value, Execution time = [ 100 ,  4 , 3.13159, 0.000297]
iters, NUM_THREAD, value, Execution time = [ 100 ,  10 , 3.13159, 0.001115]
iters, NUM_THREAD, value, Execution time = [ 100 ,  20 , 3.13159, 0.001185]
iters, NUM_THREAD, value, Execution time = [ 100 ,  50 , 3.13159, 0.002384]
iters, NUM_THREAD, value, Execution time = [ 100 ,  100 , 3.13159, 0.005649]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  1 , 3.14059, 0.000259]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  2 , 3.14059, 0.000272]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  4 , 3.14059, 0.000449]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  10 , 3.14059, 0.000708]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  20 , 3.14059, 0.001454]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  50 , 3.14059, 0.002422]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  100 , 3.14059, 0.005637]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  1 , 3.14149, 0.000402]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  2 , 3.14149, 0.000745]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  4 , 3.14149, 0.002445]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  10 , 3.14149, 0.002605]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  20 , 3.14149, 0.001618]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  50 , 3.14149, 0.003439]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  100 , 3.14149, 0.006716]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  1 , 3.14158, 0.00339]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  2 , 3.14158, 0.007581]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  4 , 3.14158, 0.016275]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  10 , 3.14158, 0.014549]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  20 , 3.14158, 0.018011]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  50 , 3.14158, 0.019392]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  100 , 3.14158, 0.015602]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  1 , 3.14159, 0.031536]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  2 , 3.14159, 0.120919]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  4 , 3.14159, 0.165824]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  10 , 3.14159, 0.133632]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  20 , 3.14159, 0.147885]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  50 , 3.14159, 0.15791]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  100 , 3.14159, 0.158797]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  1 , 3.14159, 0.285515]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  2 , 3.14159, 0.996804]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  4 , 3.14159, 1.47132]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  10 , 3.14159, 1.06521]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  20 , 3.14159, 1.15373]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  50 , 3.14159, 1.14761]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  100 , 3.14159, 1.19]
