iters, NUM_THREAD, value, Execution time = [ 10 ,  1 , 3.04184, 8.5e-05]
iters, NUM_THREAD, value, Execution time = [ 10 ,  2 , 3.04184, 0.000223]
iters, NUM_THREAD, value, Execution time = [ 10 ,  4 , 3.01707, 0.000269]
iters, NUM_THREAD, value, Execution time = [ 10 ,  10 , 3.04184, 0.000849]
iters, NUM_THREAD, value, Execution time = [ 10 ,  20 , 0, 0.001665]
iters, NUM_THREAD, value, Execution time = [ 10 ,  50 , 0, 0.003006]
iters, NUM_THREAD, value, Execution time = [ 10 ,  100 , 0, 0.006192]
iters, NUM_THREAD, value, Execution time = [ 100 ,  1 , 3.13159, 0.000201]
iters, NUM_THREAD, value, Execution time = [ 100 ,  2 , 3.13159, 0.000272]
iters, NUM_THREAD, value, Execution time = [ 100 ,  4 , 3.13159, 0.000614]
iters, NUM_THREAD, value, Execution time = [ 100 ,  10 , 3.13159, 0.001922]
iters, NUM_THREAD, value, Execution time = [ 100 ,  20 , 3.13159, 0.00164]
iters, NUM_THREAD, value, Execution time = [ 100 ,  50 , 3.13159, 0.003007]
iters, NUM_THREAD, value, Execution time = [ 100 ,  100 , 3.13159, 0.005346]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  1 , 3.14059, 0.00023]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  2 , 3.14059, 0.000331]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  4 , 3.14059, 0.000462]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  10 , 3.14059, 0.00103]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  20 , 3.14059, 0.001506]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  50 , 3.14059, 0.003115]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  100 , 3.14059, 0.005474]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  1 , 3.14149, 0.000447]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  2 , 3.14149, 0.002001]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  4 , 3.14149, 0.002673]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  10 , 3.14149, 0.003341]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  20 , 3.14149, 0.004073]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  50 , 3.14149, 0.003727]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  100 , 3.14149, 0.005944]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  1 , 3.14158, 0.004044]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  2 , 3.14158, 0.022008]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  4 , 3.14158, 0.025239]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  10 , 3.14158, 0.029348]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  20 , 3.14158, 0.024007]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  50 , 3.14158, 0.026887]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  100 , 3.14158, 0.02471]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  1 , 3.14159, 0.016889]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  2 , 3.14159, 0.096602]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  4 , 3.14159, 0.154827]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  10 , 3.14159, 0.137467]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  20 , 3.14159, 0.148019]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  50 , 3.14159, 0.138986]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  100 , 3.14159, 0.136482]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  1 , 3.14159, 0.161737]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  2 , 3.14159, 1.07584]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  4 , 3.14159, 1.55019]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  10 , 3.14159, 1.58444]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  20 , 3.14159, 1.43763]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  50 , 3.14159, 1.31671]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  100 , 3.14159, 1.25153]
