iters, NUM_THREAD, value, Execution time = [ 10 ,  1 , 3.04184, 0.000183]
iters, NUM_THREAD, value, Execution time = [ 10 ,  2 , 3.04184, 0.000283]
iters, NUM_THREAD, value, Execution time = [ 10 ,  4 , 3.01707, 0.000554]
iters, NUM_THREAD, value, Execution time = [ 10 ,  10 , 3.04184, 0.001073]
iters, NUM_THREAD, value, Execution time = [ 10 ,  20 , 0, 0.001771]
iters, NUM_THREAD, value, Execution time = [ 10 ,  50 , 0, 0.0029]
iters, NUM_THREAD, value, Execution time = [ 10 ,  100 , 0, 0.005642]
iters, NUM_THREAD, value, Execution time = [ 100 ,  1 , 3.13159, 0.000197]
iters, NUM_THREAD, value, Execution time = [ 100 ,  2 , 3.13159, 0.000278]
iters, NUM_THREAD, value, Execution time = [ 100 ,  4 , 3.13159, 0.000431]
iters, NUM_THREAD, value, Execution time = [ 100 ,  10 , 3.13159, 0.000734]
iters, NUM_THREAD, value, Execution time = [ 100 ,  20 , 3.13159, 0.002064]
iters, NUM_THREAD, value, Execution time = [ 100 ,  50 , 3.13159, 0.003412]
iters, NUM_THREAD, value, Execution time = [ 100 ,  100 , 3.13159, 0.005839]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  1 , 3.14059, 0.000195]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  2 , 3.14059, 0.000251]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  4 , 3.14059, 0.000454]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  10 , 3.14059, 0.001276]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  20 , 3.14059, 0.001527]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  50 , 3.14059, 0.003385]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  100 , 3.14059, 0.005677]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  1 , 3.14149, 0.00025]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  2 , 3.14149, 0.000357]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  4 , 3.14149, 0.000474]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  10 , 3.14149, 0.000878]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  20 , 3.14149, 0.001877]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  50 , 3.14149, 0.002827]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  100 , 3.14149, 0.00608]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  1 , 3.14158, 0.000724]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  2 , 3.14158, 0.000851]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  4 , 3.14158, 0.001022]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  10 , 3.14158, 0.001374]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  20 , 3.14158, 0.001407]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  50 , 3.14158, 0.001771]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  100 , 3.14158, 0.003038]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  1 , 3.14159, 0.005857]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  2 , 3.14159, 0.002622]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  4 , 3.14159, 0.002884]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  10 , 3.14159, 0.002919]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  20 , 3.14159, 0.003106]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  50 , 3.14159, 0.004734]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  100 , 3.14159, 0.005936]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  1 , 3.14159, 0.024328]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  2 , 3.14159, 0.024826]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  4 , 3.14159, 0.025196]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  10 , 3.14159, 0.025559]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  20 , 3.14159, 0.025789]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  50 , 3.14159, 0.026842]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  100 , 3.14159, 0.029346]
