iters, NUM_THREAD, value, Execution time = [ 10 ,  1 , 3.04184, 0.000134]
iters, NUM_THREAD, value, Execution time = [ 10 ,  2 , 3.04184, 0.00016]
iters, NUM_THREAD, value, Execution time = [ 10 ,  4 , 3.01707, 0.000317]
iters, NUM_THREAD, value, Execution time = [ 10 ,  10 , 3.04184, 0.000557]
iters, NUM_THREAD, value, Execution time = [ 10 ,  20 , 2.77338e-309, 0.001634]
iters, NUM_THREAD, value, Execution time = [ 10 ,  50 , 2.7727e-309, 0.002579]
iters, NUM_THREAD, value, Execution time = [ 10 ,  100 , 2.77493e-309, 0.007035]
iters, NUM_THREAD, value, Execution time = [ 100 ,  1 , 3.13159, 9.5e-05]
iters, NUM_THREAD, value, Execution time = [ 100 ,  2 , 3.13159, 0.000193]
iters, NUM_THREAD, value, Execution time = [ 100 ,  4 , 3.13159, 0.0004]
iters, NUM_THREAD, value, Execution time = [ 100 ,  10 , 3.13159, 0.000684]
iters, NUM_THREAD, value, Execution time = [ 100 ,  20 , 3.13159, 0.00113]
iters, NUM_THREAD, value, Execution time = [ 100 ,  50 , 3.13159, 0.001973]
iters, NUM_THREAD, value, Execution time = [ 100 ,  100 , 3.13159, 0.006901]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  1 , 3.14059, 0.000157]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  2 , 3.14059, 0.000377]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  4 , 3.14059, 0.0006]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  10 , 3.14059, 0.000794]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  20 , 3.14059, 0.00142]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  50 , 3.14059, 0.002557]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  100 , 3.14059, 0.004848]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  1 , 3.14149, 0.000421]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  2 , 3.14149, 0.000815]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  4 , 3.14149, 0.001832]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  10 , 3.14149, 0.002237]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  20 , 3.14149, 0.001757]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  50 , 3.14149, 0.003214]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  100 , 3.14149, 0.006054]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  1 , 3.14158, 0.003801]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  2 , 3.14158, 0.007405]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  4 , 3.14158, 0.018544]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  10 , 3.14158, 0.015563]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  20 , 3.14158, 0.011716]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  50 , 3.14158, 0.017006]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  100 , 3.14158, 0.013856]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  1 , 3.14159, 0.029836]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  2 , 3.14159, 0.048263]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  4 , 3.14159, 0.166259]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  10 , 3.14159, 0.155119]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  20 , 3.14159, 0.14631]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  50 , 3.14159, 0.153404]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  100 , 3.14159, 0.166973]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  1 , 3.14159, 0.288969]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  2 , 3.14159, 0.508007]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  4 , 3.14159, 1.0245]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  10 , 3.14159, 1.36982]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  20 , 3.14159, 1.2075]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  50 , 3.14159, 1.2183]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  100 , 3.14159, 1.24094]
