iters, NUM_THREAD, value, Execution time = [ 10 ,  1 , 3.04184, 0.000105]
iters, NUM_THREAD, value, Execution time = [ 10 ,  2 , 3.04184, 0.000154]
iters, NUM_THREAD, value, Execution time = [ 10 ,  4 , 3.01707, 0.000405]
iters, NUM_THREAD, value, Execution time = [ 10 ,  10 , 3.04184, 0.000537]
iters, NUM_THREAD, value, Execution time = [ 10 ,  20 , 2.77235e-309, 0.001721]
iters, NUM_THREAD, value, Execution time = [ 10 ,  50 , 2.76618e-309, 0.002593]
iters, NUM_THREAD, value, Execution time = [ 10 ,  100 , 2.77697e-309, 0.006162]
iters, NUM_THREAD, value, Execution time = [ 100 ,  1 , 3.13159, 0.000115]
iters, NUM_THREAD, value, Execution time = [ 100 ,  2 , 3.13159, 0.00022]
iters, NUM_THREAD, value, Execution time = [ 100 ,  4 , 3.13159, 0.000394]
iters, NUM_THREAD, value, Execution time = [ 100 ,  10 , 3.13159, 0.000952]
iters, NUM_THREAD, value, Execution time = [ 100 ,  20 , 3.13159, 0.000934]
iters, NUM_THREAD, value, Execution time = [ 100 ,  50 , 3.13159, 0.002707]
iters, NUM_THREAD, value, Execution time = [ 100 ,  100 , 3.13159, 0.006222]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  1 , 3.14059, 0.000217]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  2 , 3.14059, 0.00033]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  4 , 3.14059, 0.000438]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  10 , 3.14059, 0.001511]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  20 , 3.14059, 0.001232]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  50 , 3.14059, 0.003213]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  100 , 3.14059, 0.004213]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  1 , 3.14149, 0.000271]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  2 , 3.14149, 0.000253]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  4 , 3.14149, 0.000465]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  10 , 3.14149, 0.000796]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  20 , 3.14149, 0.001133]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  50 , 3.14149, 0.002886]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  100 , 3.14149, 0.004881]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  1 , 3.14158, 0.001168]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  2 , 3.14158, 0.002365]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  4 , 3.14158, 0.001924]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  10 , 3.14158, 0.001946]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  20 , 3.14158, 0.003105]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  50 , 3.14158, 0.003886]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  100 , 3.14158, 0.005082]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  1 , 3.14159, 0.007943]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  2 , 3.14159, 0.015591]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  4 , 3.14159, 0.0166]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  10 , 3.14159, 0.014926]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  20 , 3.14159, 0.016829]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  50 , 3.14159, 0.017185]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  100 , 3.14159, 0.018764]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  1 , 3.14159, 0.08196]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  2 , 3.14159, 0.158438]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  4 , 3.14159, 0.12315]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  10 , 3.14159, 0.128477]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  20 , 3.14159, 0.141089]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  50 , 3.14159, 0.148947]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  100 , 3.14159, 0.149953]
