iters, NUM_THREAD, value, Execution time = [ 10 ,  1 , 3.04184, 0.00012]
iters, NUM_THREAD, value, Execution time = [ 10 ,  2 , 3.04184, 0.000242]
iters, NUM_THREAD, value, Execution time = [ 10 ,  4 , 3.01707, 0.000283]
iters, NUM_THREAD, value, Execution time = [ 10 ,  10 , 3.04184, 0.000711]
iters, NUM_THREAD, value, Execution time = [ 10 ,  20 , 2.78017e-309, 0.000981]
iters, NUM_THREAD, value, Execution time = [ 10 ,  50 , 2.76038e-309, 0.002349]
iters, NUM_THREAD, value, Execution time = [ 10 ,  100 , 2.76914e-309, 0.005726]
iters, NUM_THREAD, value, Execution time = [ 100 ,  1 , 3.13159, 0.000114]
iters, NUM_THREAD, value, Execution time = [ 100 ,  2 , 3.13159, 0.000137]
iters, NUM_THREAD, value, Execution time = [ 100 ,  4 , 3.13159, 0.000362]
iters, NUM_THREAD, value, Execution time = [ 100 ,  10 , 3.13159, 0.001007]
iters, NUM_THREAD, value, Execution time = [ 100 ,  20 , 3.13159, 0.001072]
iters, NUM_THREAD, value, Execution time = [ 100 ,  50 , 3.13159, 0.002432]
iters, NUM_THREAD, value, Execution time = [ 100 ,  100 , 3.13159, 0.004811]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  1 , 3.14059, 0.000115]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  2 , 3.14059, 0.000154]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  4 , 3.14059, 0.000362]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  10 , 3.14059, 0.00086]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  20 , 3.14059, 0.001425]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  50 , 3.14059, 0.003765]
iters, NUM_THREAD, value, Execution time = [ 1000 ,  100 , 3.14059, 0.005646]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  1 , 3.14149, 0.000163]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  2 , 3.14149, 0.000262]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  4 , 3.14149, 0.000521]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  10 , 3.14149, 0.001047]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  20 , 3.14149, 0.001542]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  50 , 3.14149, 0.002654]
iters, NUM_THREAD, value, Execution time = [ 10000 ,  100 , 3.14149, 0.005435]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  1 , 3.14158, 0.001539]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  2 , 3.14158, 0.001036]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  4 , 3.14158, 0.001409]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  10 , 3.14158, 0.001872]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  20 , 3.14158, 0.002859]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  50 , 3.14158, 0.003913]
iters, NUM_THREAD, value, Execution time = [ 100000 ,  100 , 3.14158, 0.006555]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  1 , 3.14159, 0.008641]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  2 , 3.14159, 0.016703]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  4 , 3.14159, 0.013545]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  10 , 3.14159, 0.014548]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  20 , 3.14159, 0.016208]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  50 , 3.14159, 0.017692]
iters, NUM_THREAD, value, Execution time = [ 1000000 ,  100 , 3.14159, 0.019122]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  1 , 3.14159, 0.07892]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  2 , 3.14159, 0.162436]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  4 , 3.14159, 0.162116]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  10 , 3.14159, 0.134184]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  20 , 3.14159, 0.153145]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  50 , 3.14159, 0.148042]
iters, NUM_THREAD, value, Execution time = [ 10000000 ,  100 , 3.14159, 0.144087]
